10999 22000
23.638000 42.703999 0.454000
23.558001 45.139999 0.454000
24.410000 39.532001 0.694000
23.427999 40.990002 0.478000
22.624001 45.702000 0.500000
22.348000 43.375999 0.416000
32.801998 46.034000 0.838000
30.608000 42.167999 0.832000
31.708000 42.706001 0.682000
30.274000 43.543999 0.946000
21.077999 43.858002 0.526000
24.572001 46.265999 0.806000
21.166000 45.787998 0.668000
33.736000 47.298000 0.904000
22.535999 39.785999 0.644000
31.709999 41.354000 0.780000
34.430000 42.200001 1.212000
25.496000 42.636002 0.954000
33.113998 41.612000 0.780000
21.608000 41.958000 0.588000
32.273998 44.928001 0.712000
19.827999 44.608002 0.762000
31.205999 46.290001 0.788000
19.858000 45.785999 0.944000
23.622000 46.973999 0.716000
34.150002 40.689999 1.002000
21.080000 40.433998 0.852000
29.396000 42.580002 1.302000
24.739100 42.093899 0.552873
31.313999 44.298000 0.752000
35.388000 46.813999 1.318000
31.896000 47.562000 0.836000
22.292000 47.318001 0.808000
23.257999 38.141998 1.002000
21.902000 37.206001 1.540000
21.438000 38.834000 1.012000
24.656000 38.186001 1.114000
23.796000 37.374001 1.792000
25.652000 39.175999 1.136000
25.634001 40.698002 0.960000
34.230000 39.807999 1.384000
35.349998 40.765999 1.430000
26.164000 42.014000 1.612000
19.757999 43.119999 0.858000
32.994499 43.573101 0.818282
24.726000 44.391998 0.718000
34.492001 45.875999 1.200000
19.232000 46.206001 1.656000
30.917999 48.667999 1.194000
23.330000 47.958000 1.022000
32.608002 48.702000 1.032000
33.220001 49.664001 1.430000
30.132000 36.410000 1.540000
31.327999 37.060001 1.436000
20.459999 38.444000 1.330000
32.939999 37.220001 1.658000
33.363998 39.422001 2.454000
35.133999 39.240002 1.978000
25.681999 44.354000 1.502000
29.240000 45.942001 1.804000
24.250000 33.394001 1.724000
22.736000 32.933998 1.954000
19.886000 37.119999 1.780000
29.450001 38.613998 1.812000
19.766001 39.585999 1.610000
18.927999 38.770000 1.904000
26.427999 39.155998 1.734000
30.350000 38.000000 1.508000
20.327999 40.139999 1.248000
19.837999 41.540001 1.238000
30.076000 45.172001 1.096000
18.878000 45.220001 1.374000
24.528000 47.504002 1.292000
30.296000 47.110001 1.138000
24.694000 48.206001 2.078000
23.756001 48.521999 1.580000
20.788000 48.444000 1.548000
20.931999 47.360001 1.036000
23.194000 34.240002 1.632000
29.972000 33.787998 2.034000
25.288000 34.242001 1.812000
24.304001 35.153999 1.642000
31.394600 35.917702 1.541380
29.323999 37.231998 1.698000
25.320000 38.026001 1.660000
29.752001 39.534000 1.974000
17.688000 41.706001 2.090000
36.944000 42.500000 2.000000
36.632000 45.903999 1.734000
36.243999 47.276001 1.674000
19.844000 47.023998 1.414000
35.554001 48.445999 1.792000
34.324001 48.506001 1.198000
18.392000 50.453999 2.096000
20.285999 52.346001 2.002000
30.837999 34.608002 1.800000
22.016001 34.580002 1.942000
22.875999 35.401699 1.885490
24.672001 36.604000 1.946000
26.302000 37.728001 2.072000
32.855999 38.262001 1.768000
29.806000 40.124001 1.954000
30.427999 40.930000 1.238000
29.076000 41.130001 1.602000
29.264000 44.245998 1.536000
28.615999 44.591999 2.468000
37.362000 44.279999 1.932000
20.084000 48.383999 2.232000
29.900000 48.557999 1.562000
18.760000 51.526001 1.824000
31.412001 32.882000 2.112000
29.677999 32.568001 2.426000
28.931999 34.299999 2.310000
33.931900 35.369400 1.855770
25.128000 37.436001 2.122000
28.532000 39.801998 2.174000
34.282001 38.756001 3.408000
36.484001 38.580002 2.256000
31.997999 39.812000 2.344000
32.534000 40.202000 1.316000
36.652000 40.431999 1.830000
38.015999 41.228001 2.088000
39.158001 41.787998 2.490000
18.546000 42.490002 1.498000
38.316002 42.944000 2.162000
18.334400 43.764999 1.368450
34.060001 43.834000 1.414000
25.802000 45.394001 2.244000
25.708000 45.355999 2.882000
34.169998 44.886002 1.426000
28.676001 45.958000 2.852000
16.540001 45.570000 2.168000
25.148001 47.411999 2.130000
25.299999 46.160000 1.534000
20.934000 49.161999 2.154000
35.862000 48.695999 3.060000
22.731600 49.616901 2.188220
17.336000 51.341999 2.024000
31.566000 49.978199 1.610460
18.628000 52.262001 1.946000
22.436001 52.276001 2.082000
32.602001 33.174000 2.104000
21.412001 31.822001 2.468000
34.933998 32.771999 2.456000
18.014000 37.557999 2.086000
26.939800 40.021500 2.176450
31.844000 38.338001 1.590000
16.445999 38.264000 2.400000
37.644001 39.580002 2.112000
17.389999 39.186001 2.258000
18.190001 40.245998 2.280000
26.427999 40.473999 1.576000
19.080200 40.428001 2.180000
36.153999 41.695999 1.900000
35.674000 44.466000 1.854000
18.256100 46.447701 2.728430
17.278000 46.967999 2.168000
36.293999 47.900002 2.310000
21.719299 48.883400 1.544010
35.278000 49.731998 2.704000
30.524000 49.849998 1.822000
22.042000 51.231998 2.204000
23.202000 52.981998 2.320000
18.500200 53.277000 2.504680
21.868000 53.279999 2.200000
25.290001 30.677999 2.768000
24.268000 31.969999 2.128000
30.246000 30.850000 2.514000
33.708000 30.534000 2.636000
32.046001 31.166000 2.400000
26.190001 34.226002 2.370000
26.209999 31.704000 2.928000
25.472000 32.582001 2.244000
28.308001 34.212002 2.942000
25.643999 36.004002 1.942000
28.214001 36.028000 2.728000
29.246000 35.557999 1.964000
34.299999 36.681999 2.158000
24.153999 37.230000 2.624000
32.639999 38.736000 2.208000
16.884001 40.981998 2.444000
30.962000 40.060001 2.036000
38.785999 40.094002 2.462000
28.396000 42.316002 2.028000
35.469501 43.058701 2.195550
34.933701 43.614498 2.190040
38.431999 44.372002 2.376000
29.108601 47.102402 2.008930
19.628000 47.625999 2.380000
20.322001 50.731998 2.090000
33.405998 50.548000 1.948000
22.711599 50.724602 2.996470
20.434000 53.507999 2.332000
22.856001 54.714001 2.808000
33.419998 28.190001 3.038000
29.848000 29.587999 2.748000
23.551500 31.056900 2.452190
19.638000 33.993999 2.826000
21.042000 33.964001 2.296000
20.441999 34.998001 2.980000
26.700001 34.167999 2.912000
35.905998 35.674000 3.046000
35.158001 34.862000 2.368000
20.370001 35.790001 3.088000
20.997999 36.276001 2.320000
22.521999 36.702000 2.494000
15.398000 37.141998 2.834000
37.391998 37.658001 2.694000
30.986000 39.094002 1.970000
15.718000 40.877998 2.830000
26.112000 43.639999 2.820000
16.990000 42.554001 2.422000
15.118000 43.203999 3.164000
13.940000 45.742001 2.924000
14.770000 46.762001 3.046000
37.694000 45.577999 2.292000
28.719999 47.130001 3.060000
17.559999 48.014000 2.208000
16.576000 47.799999 2.498000
17.274000 48.570000 2.652000
16.216000 52.116001 2.604000
36.790001 53.391998 3.126000
30.976000 29.016001 2.660000
20.103300 32.723000 2.529750
36.598000 32.071999 3.134000
34.848000 31.059999 2.796000
28.840000 30.993999 2.950000
28.356001 32.762001 3.072000
16.608000 35.708000 2.908000
17.796000 35.070000 3.360000
16.906000 36.841999 2.414000
