29665 59604
8.500000 12.250000 0.500000
8.750000 12.250000 0.500000
9.000000 12.250000 0.500000
8.375000 12.500000 0.500000
8.625000 12.500000 0.500000
8.900000 12.500000 0.500000
9.250000 12.500000 0.500000
8.250000 12.750000 0.500000
8.400000 12.750000 0.500000
8.625000 12.750000 0.500000
8.875000 12.750000 0.500000
9.125000 12.750000 0.500000
8.125000 13.000000 0.500000
8.375000 13.000000 0.500000
8.625000 13.000000 0.500000
8.875000 13.000000 0.500000
9.125000 13.000000 0.500000
8.000000 13.250000 0.500000
8.150000 13.250000 0.500000
8.375000 13.250000 0.500000
8.625000 13.250000 0.500000
8.875000 13.250000 0.500000
9.125000 13.250000 0.500000
11.750000 13.250000 0.500000
12.000000 13.250000 0.500000
12.250000 13.250000 0.500000
7.875000 13.500000 0.500000
8.125000 13.500000 0.500000
8.375000 13.500000 0.500000
8.625000 13.500000 0.500000
8.875000 13.500000 0.500000
9.125000 13.500000 0.500000
11.000000 13.500000 0.500000
11.250000 13.500000 0.500000
11.500000 13.500000 0.500000
11.650000 13.500000 0.500000
11.875000 13.500000 0.500000
12.150000 13.500000 0.500000
12.500000 13.500000 0.500000
7.875000 13.750000 0.500000
8.125000 13.750000 0.500000
8.375000 13.750000 0.500000
8.625000 13.750000 0.500000
8.875000 13.750000 0.500000
9.125000 13.750000 0.500000
10.875000 13.750000 0.500000
11.125000 13.750000 0.500000
11.375000 13.750000 0.500000
11.625000 13.750000 0.500000
11.875000 13.750000 0.500000
12.125000 13.750000 0.500000
12.375000 13.750000 0.500000
7.875000 14.000000 0.500000
8.125000 14.000000 0.500000
8.375000 14.000000 0.500000
8.625000 14.000000 0.500000
8.875000 14.000000 0.500000
9.125000 14.000000 0.500000
10.875000 14.000000 0.500000
11.125000 14.000000 0.500000
11.375000 14.000000 0.500000
11.625000 14.000000 0.500000
11.875000 14.000000 0.500000
12.125000 14.000000 0.500000
12.375000 14.000000 0.500000
7.875000 14.250000 0.500000
8.125000 14.250000 0.500000
8.375000 14.250000 0.500000
8.625000 14.250000 0.500000
8.875000 14.250000 0.500000
9.150000 14.250000 0.500000
9.500000 14.250000 0.500000
10.875000 14.250000 0.500000
11.125000 14.250000 0.500000
11.375000 14.250000 0.500000
11.625000 14.250000 0.500000
11.875000 14.250000 0.500000
12.100000 14.250000 0.500000
12.250000 14.250000 0.500000
7.875000 14.500000 0.500000
8.125000 14.500000 0.500000
8.375000 14.500000 0.500000
8.625000 14.500000 0.500000
8.875000 14.500000 0.500000
9.125000 14.500000 0.500000
9.375000 14.500000 0.500000
10.875000 14.500000 0.500000
11.125000 14.500000 0.500000
11.375000 14.500000 0.500000
11.625000 14.500000 0.500000
11.850000 14.500000 0.500000
12.000000 14.500000 0.500000
7.750000 14.750000 0.500000
8.100000 14.750000 0.500000
8.375000 14.750000 0.500000
8.625000 14.750000 0.500000
8.875000 14.750000 0.500000
9.125000 14.750000 0.500000
9.375000 14.750000 0.500000
10.875000 14.750000 0.500000
11.125000 14.750000 0.500000
11.375000 14.750000 0.500000
11.625000 14.750000 0.500000
11.900000 14.750000 0.500000
12.250000 14.750000 0.500000
8.125000 15.000000 0.500000
8.375000 15.000000 0.500000
8.625000 15.000000 0.500000
8.875000 15.000000 0.500000
9.125000 15.000000 0.500000
9.375000 15.000000 0.500000
10.875000 15.000000 0.500000
11.125000 15.000000 0.500000
11.375000 15.000000 0.500000
11.625000 15.000000 0.500000
11.850000 15.000000 0.500000
12.000000 15.000000 0.500000
8.125000 15.250000 0.500000
8.375000 15.250000 0.500000
8.625000 15.250000 0.500000
8.875000 15.250000 0.500000
9.100000 15.250000 0.500000
9.250000 15.250000 0.500000
