,Volume[cm3],Surface area[cm2],Absolute folding,N vertices,N triangles,X[mm],Y[mm],Z[mm]
galago,1.81766675399,12.3584982314,1.71582134445,5002.0,10000.0,18.774,22.514,4.302001
slow_loris,4.0374054265,20.4939564515,1.67137323399,6856.0,13708.0,24.022978,26.849528,-2.579356
douroucouli,11.6701904087,46.5429184354,1.87061405337,9968.0,19932.0,30.168002,44.477998,-5.136498
capuchin,38.8543544175,127.502018512,2.29829869701,12560.0,25116.0,44.395132,61.886772,-13.816194
mangabey,49.1834784169,188.876827766,2.90947789585,19939.0,39874.0,52.93531,62.470392,5.810457
rhesus_macaque,27.1559094645,116.895295724,2.67549005758,12489.0,24978.0,43.852,55.668002,-22.000236
ce_macaque,58.0373316193,203.506225784,2.80729865561,10997.0,21990.0,54.285114,68.259205,-2.846277
baboon,89.7470672032,259.184293775,2.67368996207,7502.0,15000.0,65.431602,78.150596,-6.322619
orangutan,185.125248879,410.111516271,2.61080280164,12488.0,24972.0,81.733024,88.747352,34.673516
gorilla,275.285154191,542.467507146,2.65074374121,15001.0,29998.0,88.008915,114.313102,36.91875
roberto,1142.10384958,2377.33321549,4.49920246407,50002.0,100000.0,142.877,165.1594,51.6575
